Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Q1 2015,0.6,0.8,3.9,1.9,5.6,-3.1,0.0,1.5,2.0,4.0,3.7,3.3,21707.6,177.3,260.0,22.4
Q2 2015,3.9,6.1,2.6,4.9,5.4,3.0,0.0,1.5,2.2,4.2,3.8,3.3,21630.9,179.4,264.0,18.9
Q3 2015,2.0,3.3,3.8,5.1,5.2,1.6,0.0,1.6,2.3,4.5,3.9,3.3,19959.3,181.7,270.0,40.7
Q4 2015,1.9,1.9,3.5,3.8,5.0,0.2,0.1,1.6,2.2,4.6,3.9,3.3,21100.9,183.1,273.4,24.4
Q1 2016,-5.1,-2.6,-0.5,-0.4,6.0,0.2,0.0,0.0,0.2,4.8,3.2,3.3,16831.9,178.8,264.9,73.3
Q2 2016,-7.5,-6.1,-4.1,-3.2,7.2,0.9,-0.2,0.0,0.4,5.6,3.7,2.9,13254.9,173.5,251.0,61.1
Q3 2016,-5.9,-4.5,-4.5,-3.5,8.3,1.1,-0.5,0.0,0.4,6.0,3.9,2.6,11469.2,167.4,236.5,67.1
Q4 2016,-4.2,-2.9,-3.6,-2.5,9.1,1.3,-0.5,0.0,0.6,6.4,4.1,2.6,10395.5,160.8,223.2,59.1
Q1 2017,-2.2,-0.9,-2.0,-0.7,9.7,1.4,-0.5,0.0,0.7,6.1,4.1,2.6,11183.3,154.7,210.4,45.5
Q2 2017,0.4,1.9,-0.7,1.0,9.9,1.8,-0.5,0.0,0.8,5.8,4.1,2.6,12131.9,148.9,201.3,37.4
Q3 2017,1.3,2.9,-0.3,1.4,10.0,1.9,-0.5,0.1,1.0,5.7,4.1,2.6,13178.9,144.0,193.4,31.1
Q4 2017,3.0,4.4,1.4,3.1,9.9,1.9,-0.5,0.2,1.1,5.5,4.1,2.6,14671.1,140.8,191.2,26.2
Q1 2018,3.0,4.0,2.3,3.6,9.8,1.6,-0.5,0.3,1.2,5.3,4.1,2.6,16180.1,138.5,190.1,22.8
Q2 2018,3.9,5.0,2.6,4.0,9.6,1.7,-0.5,0.4,1.4,5.1,4.0,2.6,17996.1,137.5,190.5,20.0
Q3 2018,3.9,4.9,2.9,4.3,9.4,1.7,-0.5,0.5,1.5,5.0,4.1,2.6,19271.6,137.3,192.6,18.9
Q4 2018,3.9,4.9,3.1,4.4,9.1,1.6,-0.5,0.6,1.6,4.8,4.1,2.6,20640.9,137.7,195.4,17.6
Q1 2019,3.9,4.8,3.0,4.2,8.9,1.5,-0.5,0.7,1.7,4.7,4.1,2.6,22068.1,138.5,198.5,16.8
